PROPERTY_TOTAL_VALUE,AREA_EN,ACTUAL_AREA,PROCEDURE_YEAR,PROCEDURE_NUMBER,INSTANCE_DATE,ACTUAL_WORTH,PROCEDURE_AREA,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN
18859,Mankhool,1752.15,2026,2862,24-06-2026 8.16,18859,1752.15,Land,Commercial
54024,Saih Shuaib 2,16.73,2026,831,05-02-2026 11.04,54024,16.73,Land,
63028,Saih Shuaib 3,16.73,2026,832,05-02-2026 11.11,63028,16.73,Land,
100131,Madinat Hind 4,37.21,2026,840,05-02-2026 11.38,100131,37.21,Land,
100320,Al Yelayiss 2,37.28,2026,838,05-02-2026 11.30,100320,37.28,Land,
105136,Al Yufrah 1,39.07,2026,837,05-02-2026 11.25,105136,39.07,Land,Government Housing
143122,Al Hebiah Sixth,37.99,2026,833,05-02-2026 11.16,143122,37.99,Land,
185225,Al Thanyah First,43.02,2026,829,05-02-2026 10.58,185225,43.02,Land,
269098,Al Qusais Industrial Fifth,100,2026,934,10-02-2026 11.20,269098,100,Land,
302364,Al Warsan First,45,2026,41,05-01-2026 8.44,302363.68,45,Unit,Flat
304653,Al Warsan First,44,2026,2649,09-06-2026 8.47,304653.23,44,Unit,Flat
308870,Me'Aisem First,114.78,2026,835,05-02-2026 11.21,308870,114.78,Land,
321771,Muhaisanah Second,45.99,2026,1005,12-02-2026 10.34,321771,45.99,Land,
352755,Warsan Fourth,36.04,2026,2045,20-04-2026 15.17,352755.26,36.04,Unit,Flat
450167,Me'Aisem First,49.08,2026,78,05-01-2026 21.27,450167.15,49.08,Unit,Flat
467286,Me'Aisem First,51.94,2026,2,02-01-2026 7.53,467285.5,51.94,Unit,Flat
467387,Me'Aisem First,51.94,2026,132,06-01-2026 21.29,467386.54,51.94,Unit,Flat
470977,Nadd Hessa,52.86,2026,2466,20-05-2026 9.55,470977.07,52.86,Unit,Office
471159,Nadd Hessa,45.58,2026,1108,16-02-2026 15.40,471159.41,45.58,Unit,Flat
474366,Me'Aisem First,52.76,2026,77,05-01-2026 21.24,474366.36,52.76,Unit,Flat
476020,Me'Aisem First,53.12,2026,128,06-01-2026 21.16,476020.36,53.12,Unit,Flat
476776,Me'Aisem First,53.1,2026,131,06-01-2026 21.26,476776.34,53.1,Unit,Flat
476875,Me'Aisem First,53.1,2026,195,08-01-2026 20.53,476875.19,53.1,Unit,Flat
477052,Nadd Hessa,45.87,2026,1105,16-02-2026 15.13,477051.86,45.87,Unit,Flat
477943,Me'Aisem First,53.51,2026,123,06-01-2026 21.04,477943.13,53.51,Unit,Flat
479192,Me'Aisem First,53.5,2026,193,08-01-2026 20.49,479192.06,53.5,Unit,Flat
480045,Me'Aisem First,53.49,2026,199,08-01-2026 21.02,480044.56,53.49,Unit,Flat
480144,Me'Aisem First,53.49,2026,80,05-01-2026 21.33,480144.14,53.49,Unit,Flat
483230,Me'Aisem First,54.26,2026,111,06-01-2026 20.29,483229.76,54.26,Unit,Flat
484362,Me'Aisem First,54.26,2026,206,08-01-2026 21.17,484361.94,54.26,Unit,Flat
487754,Me'Aisem First,54.49,2026,82,05-01-2026 21.38,487754.33,54.49,Unit,Flat
489155,Al Warsan First,85,2026,38,05-01-2026 8.23,489155.01,85,Unit,Flat
495635,Me'Aisem First,55.64,2026,1,02-01-2026 7.47,495635.2,55.64,Unit,Flat
495815,Me'Aisem First,55.64,2026,76,05-01-2026 21.21,495814.97,55.64,Unit,Flat
495815,Me'Aisem First,55.64,2026,75,05-01-2026 21.18,495814.97,55.64,Unit,Flat
496791,Me'Aisem First,55.66,2026,129,06-01-2026 21.18,496790.93,55.66,Unit,Flat
496971,Me'Aisem First,55.66,2026,341,14-01-2026 10.13,496970.76,55.66,Unit,Flat
497556,Me'Aisem First,55.87,2026,209,08-01-2026 21.24,497555.88,55.87,Unit,Flat
497585,Me'Aisem First,55.9,2026,212,08-01-2026 21.30,497585.03,55.9,Unit,Flat
497674,Me'Aisem First,55.91,2026,338,14-01-2026 10.07,497674.04,55.91,Unit,Flat
497674,Me'Aisem First,55.91,2026,213,08-01-2026 21.35,497674.04,55.91,Unit,Flat
497674,Me'Aisem First,55.91,2026,194,08-01-2026 20.51,497674.04,55.91,Unit,Flat
497674,Me'Aisem First,55.91,2026,201,08-01-2026 21.08,497674.04,55.91,Unit,Flat
497736,Me'Aisem First,55.87,2026,68,05-01-2026 20.23,497736.39,55.87,Unit,Flat
497766,Me'Aisem First,55.9,2026,67,05-01-2026 20.17,497765.63,55.9,Unit,Flat
497855,Me'Aisem First,55.91,2026,112,06-01-2026 20.31,497854.68,55.91,Unit,Flat
497855,Me'Aisem First,55.91,2026,71,05-01-2026 20.43,497854.68,55.91,Unit,Flat
497855,Me'Aisem First,55.91,2026,70,05-01-2026 20.36,497854.68,55.91,Unit,Flat
497855,Me'Aisem First,55.91,2026,69,05-01-2026 20.30,497854.68,55.91,Unit,Flat
498915,Me'Aisem First,55.97,2026,192,08-01-2026 20.46,498914.71,55.97,Unit,Flat
499000,Al Barsha South Fourth,36.31,2026,2276,06-05-2026 12.08,499000,36.31,Unit,Flat
499096,Me'Aisem First,55.97,2026,113,06-01-2026 20.34,499095.55,55.97,Unit,Flat
501882,Me'Aisem First,56.39,2026,207,08-01-2026 21.19,501881.86,56.39,Unit,Flat
501916,Me'Aisem First,56.39,2026,339,14-01-2026 10.10,501916.46,56.39,Unit,Flat
502324,Me'Aisem First,56.39,2026,197,08-01-2026 20.58,502324.38,56.39,Unit,Flat
502359,Me'Aisem First,56.39,2026,5,02-01-2026 8.06,502358.97,56.39,Unit,Flat
502731,Al Qusais Industrial Fifth,64.07,2026,2826,22-06-2026 8.55,502730.63,64.07,Unit,Flat
506815,Me'Aisem First,57.94,2026,125,06-01-2026 21.09,506814.66,57.94,Unit,Flat
507127,Me'Aisem First,57.95,2026,115,06-01-2026 20.41,507127.33,57.95,Unit,Flat
508067,Me'Aisem First,57.53,2026,74,05-01-2026 21.16,508066.88,57.53,Unit,Flat
508224,Me'Aisem First,57.53,2026,198,08-01-2026 21.00,508224.24,57.53,Unit,Flat
508759,Me'Aisem First,57.94,2026,204,08-01-2026 21.12,508759.05,57.94,Unit,Flat
508759,Me'Aisem First,57.94,2026,203,08-01-2026 21.10,508759.05,57.94,Unit,Flat
508889,Me'Aisem First,57.94,2026,196,08-01-2026 20.55,508888.95,57.94,Unit,Flat
508981,Me'Aisem First,58.18,2026,122,06-01-2026 21.02,508980.79,58.18,Unit,Flat
509156,Me'Aisem First,58.2,2026,116,06-01-2026 20.43,509155.75,58.2,Unit,Flat
509554,Me'Aisem First,58.27,2026,124,06-01-2026 21.07,509554.13,58.27,Unit,Flat
509776,Me'Aisem First,57.91,2026,81,05-01-2026 21.36,509776.11,57.91,Unit,Flat
509935,Me'Aisem First,57.91,2026,208,08-01-2026 21.22,509934.51,57.91,Unit,Flat
510214,Me'Aisem First,58.08,2026,190,08-01-2026 20.40,510214.07,58.08,Unit,Flat
510569,Al Barsha South Fifth,39.53,2026,2070,22-04-2026 5.02,510569.28,39.53,Unit,Flat
510862,Wadi Al Safa 2,77.71,2026,183,08-01-2026 13.09,510861.78,77.71,Unit,Flat
510933,Me'Aisem First,58.18,2026,127,06-01-2026 21.13,510933.24,58.18,Unit,Flat
510933,Me'Aisem First,58.18,2026,126,06-01-2026 21.11,510933.24,58.18,Unit,Flat
510933,Me'Aisem First,58.18,2026,210,08-01-2026 21.26,510933.24,58.18,Unit,Flat
510933,Me'Aisem First,58.18,2026,211,08-01-2026 21.28,510933.24,58.18,Unit,Flat
510938,Business Bay,27.05,2026,2613,05-06-2026 10.00,510937.73,27.05,Unit,Office
511064,Me'Aisem First,58.18,2026,117,06-01-2026 20.46,511063.67,58.18,Unit,Flat
511064,Me'Aisem First,58.18,2026,121,06-01-2026 20.55,511063.67,58.18,Unit,Flat
511064,Me'Aisem First,58.18,2026,135,06-01-2026 21.43,511063.67,58.18,Unit,Flat
511064,Me'Aisem First,58.18,2026,133,06-01-2026 21.37,511063.67,58.18,Unit,Flat
511109,Me'Aisem First,58.2,2026,191,08-01-2026 20.44,511108.87,58.2,Unit,Flat
511239,Me'Aisem First,58.2,2026,118,06-01-2026 20.49,511239.35,58.2,Unit,Flat
511510,Me'Aisem First,58.27,2026,205,08-01-2026 21.14,511509.6,58.27,Unit,Flat
518480,Jabal Ali First,37.17,2026,1480,13-03-2026 5.15,518480.32,37.17,Unit,Flat
520070,Me'Aisem First,59.67,2026,83,05-01-2026 21.44,520069.96,59.67,Unit,Flat
521695,Jabal Ali,45,2026,540,22-01-2026 9.08,521695.04,45,Unit,Flat
523379,Madinat Hind 4,39.31,2026,480,20-01-2026 10.36,523378.87,39.31,Unit,Flat
523591,Me'Aisem First,40.19,2026,2833,22-06-2026 10.59,523590.77,40.19,Unit,Flat
524838,Me'Aisem First,60.44,2026,120,06-01-2026 20.53,524838.12,60.44,Unit,Flat
525047,Me'Aisem First,60.19,2026,3,02-01-2026 7.57,525046.97,60.19,Unit,Flat
525239,Me'Aisem First,60.19,2026,130,06-01-2026 21.20,525239.26,60.19,Unit,Flat
526225,Me'Aisem First,60.23,2026,134,06-01-2026 21.40,526225.04,60.23,Unit,Flat
526538,Al Hebiah Fourth,44.47,2026,2736,16-06-2026 12.15,526538,44.47,Unit,Flat
539246,Al Warsan First,77.63,2026,2600,04-06-2026 13.19,539245.98,77.63,Unit,Flat
540849,Me'Aisem First,60.59,2026,119,06-01-2026 20.51,540848.8,60.59,Unit,Flat
541684,Me'Aisem First,60.59,2026,4,02-01-2026 7.59,541684.15,60.59,Unit,Flat
555937,Al Barsha South Fourth,55.49,2026,2763,17-06-2026 12.27,555937.21,55.49,Unit,Flat
556608,Me'Aisem First,55.13,2026,2927,25-06-2026 11.48,556608.21,55.13,Unit,Flat
561687,Me'Aisem First,40.96,2026,2952,26-06-2026 10.21,561687,40.96,Unit,Flat
563051,Me'Aisem First,66.62,2026,79,05-01-2026 21.31,563050.54,66.62,Unit,Flat
564941,Me'Aisem First,67.36,2026,114,06-01-2026 20.39,564941.03,67.36,Unit,Flat
572215,Business Bay,27.31,2026,248,12-01-2026 10.39,572215.09,27.31,Unit,Office
583150,Al Qusais Industrial Fifth,77.71,2026,2979,29-06-2026 10.02,583149.97,77.71,Unit,Flat
583452,Al Barshaa South Second,38.73,2026,662,28-01-2026 12.47,583451.96,38.73,Unit,Flat
586232,Nadd Hessa,75.12,2026,1291,26-02-2026 9.38,586232.22,75.12,Unit,Flat
590161,Wadi Al Safa 5,60.28,2026,2994,29-06-2026 13.39,590160.74,60.28,Unit,Flat
606565,Madinat Al Mataar,59.7,2026,2290,07-05-2026 12.19,606565.29,59.7,Unit,Flat
607504,Al Muteena,125.42,2026,891,09-02-2026 11.25,607504,125.42,Land,Commercial
608025,Al Hebiah Fifth,54.1,2026,2966,26-06-2026 12.12,608025.17,54.1,Unit,Flat
